Date,Open,High,Low,Close,action,RSI,portfolio_value
2023-03-16 00:00:00-04:00,150.81,155.07,150.29,154.46,none,66.59340659340663,1667081.3594314675
2023-03-17 00:00:00-04:00,154.69,155.35,152.91,153.62,none,63.028953229398695,1667081.3594314675
2023-03-20 00:00:00-04:00,153.69,156.42,152.78,156.0,none,67.175572519084,1667081.3594314675
2023-03-21 00:00:00-04:00,155.92,157.98,155.15,157.86,none,74.19580419580421,1667081.3594314675
2023-03-22 00:00:00-04:00,157.88,160.7,156.41,156.43,none,70.07472826086956,1667081.3594314675
2023-03-23 00:00:00-04:00,157.42,160.11,156.28,157.52,none,65.38310412573676,1667081.3594314675
2023-03-24 00:00:00-04:00,157.45,158.91,156.45,158.82,none,63.26105087572975,1667081.3594314675
2023-03-27 00:00:00-04:00,158.52,159.34,156.47,156.87,none,63.95446880269817,1667081.3594314675
2023-03-28 00:00:00-04:00,156.56,157.08,154.59,156.25,none,60.26863084922012,1667081.3594314675
2023-03-29 00:00:00-04:00,157.95,159.62,157.93,159.34,none,71.09995817649519,1667081.3594314675
2023-03-30 00:00:00-04:00,160.09,161.02,159.84,160.92,sell,79.33390264730997,1667081.3594314675
2023-03-31 00:00:00-04:00,160.99,163.53,160.47,163.43,none,79.81651376146789,1667081.3594314675
2023-04-03 00:00:00-04:00,162.81,164.81,162.76,164.69,none,79.0838375108038,1667081.3594314675
2023-04-04 00:00:00-04:00,165.12,165.36,163.64,164.16,none,76.9230769230769,1667081.3594314675
2023-04-05 00:00:00-04:00,163.27,163.58,160.36,162.3,none,67.5784753363229,1667081.3594314675
2023-04-06 00:00:00-04:00,160.99,163.49,160.56,163.2,none,71.4221824686941,1667081.3594314675
2023-04-10 00:00:00-04:00,159.98,160.59,158.66,160.59,none,60.15936254980083,1667081.3594314675
2023-04-11 00:00:00-04:00,160.91,160.92,159.08,159.37,none,53.4396355353075,1667081.3594314675
2023-04-12 00:00:00-04:00,159.79,160.62,158.36,158.68,none,55.30410183875532,1667081.3594314675
2023-04-13 00:00:00-04:00,160.19,164.33,159.98,164.09,none,62.86721504112812,1667081.3594314675
2023-04-14 00:00:00-04:00,163.13,164.84,162.36,163.74,none,60.00813669650129,1667081.3594314675
2023-04-17 00:00:00-04:00,163.62,163.92,162.57,163.76,none,65.20971302428259,1667081.3594314675
2023-04-18 00:00:00-04:00,164.62,165.92,164.18,164.99,none,68.7876182287189,1667081.3594314675
2023-04-19 00:00:00-04:00,164.33,166.66,164.07,166.14,none,65.9474671669794,1667081.3594314675
